Character ID Table of Contents
------------------------------
Formated by empire and kingdom. Try to add in the duchy numberings too (which I've done for e_arixo and e_baja as of Feb 27th), feel free to give multiple values for a single duchy if its particularly detailed. Lets keep character IDs as 6 digits, even if you want to make it 000001 for something. For particular characters feel free to put them anywhere under 010000, as that is all totally unused space going off this system.


eekdxx
01xxxx   e arixo
	011xxx   k arizona
		0111xx   d coconino
		0112xx   d gila
		0113xx   d pheonix
		0114xx   d yavapai
	012xxx   k colorado river
		0121xx   d ahwe nyava
		0122xx   d mead
		0123xx   d mohave
	013xxx   k gadsden
		0131xx   d cochise
		0132xx   d two sun
		0133xx   d yuma
	014xxx   k mogollon
		0141xx   d hidalgo
		0142xx   d luna
		0143xx   d mogollon

02xxxx   e baja
	021xxx   k north baja
		0211xx   d biosfera
		0212xx   d el rosario
		0213xx   d ensenada
		0214xx   d gran rosarito
		0215xx   d mexicali
		0216xx   d san felipe
		0217xx   d tijuana
	022xxx   k south baja
		0221xx   d comondu
		0222xx   d gran guadalupe
		0223xx   d gran paz
		0224xx   d kakigui
		0225xx   d loreto
		0226xx   d los cabos
		0227xx   d magdalena
		0228xx   d mulege

03xxxx   e caledonia
	031xxx   k great okanagan
	032xxx   k kootenay

04xxxx   e colorado
	041xxx   k frontrange
	042xxx   k san luis
	043xxx   k western slope

05xxxx   e deseret
	051xxx   k green river
	052xxx   k wasatch
	053xxx   k zion

06xxxx   e gran francisco
	061xxx   k east bay
	062xxx   k goldengate
	063xxx   k salinas
	064xxx   k santa clara
	065xxx   k the lake
	066xxx   k wineland

07xxxx   e grand vancouver
	071xxx   k south island
	072xxx   k upisland
	073xxx   k vancouver

08xxxx   e idaho
	081xxx   k east snake
	082xxx   k highdesert
	083xxx   k northern basin
	084xxx   k silver bow
	085xxx   k west snake

09xxxx   e jefferson
	091xxx   k humboldt
	092xxx   k mendicino
	093xxx   k modoc
	094xxx   k north jefferson
	095xxx   k shasta
	096xxx   k sisiyou

10xxxx   e lincoln
	101xxx   k blue mountains
	102xxx   k clearwater
	103xxx   k columbia
	104xxx   k spokane
	105xxx   k yakama

11xxxx   e lone star
	111xxx   k el paso
	112xxx   k new mexico

12xxxx   e navajoland
	121xxx   k hopi
	122xxx   k navajoland
	123xxx   k peublo

13xxxx   e nevada
	131xxx   k death valley
	132xxx   k nevada
	133xxx   k scarland

14xxxx   e oregon
	141xxx   k douglas
	142xxx   k portlandia
	143xxx   k salem
	144xxx   k saltcoast

15xxxx   e sacremento
	151xxx   k lassen
	152xxx   k rancho tehama
	153xxx   k sacremento
	154xxx   k sierra nevada

16xxxx   e san joaquin
	161xxx k ashland
	162xxx k bako
	163xxx k san joaquin

17xxxx   e socal
	171xxx mojave
	172xxx north socal
	173xxx south socal

18xxxx   e sonora
	181xxx   k altar
	182xxx   k mazatlan
	183xxx   k sinaloa
	184xxx   k sonora
	185xxx   k sonora
	186xxx   k yaqui

19xxxx   e washington
	191xxx    k olympia
	192xxx    k the puget
	193xxx    k willapa

20xxxx   e yellowstone
	201xxx   k sweetwater
	202xxx   k wonderland
	203xxx   k wyoming











