#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_chula_vista;Chula Vista;Chula Vista;Chula Vista;;Chula Vista;;;;;;;;;x
b_chula_vista_adj;Chula Vistan;;Chula Vister;;;;;;;;;;;x
b_coronado;Coronado;Coronado;Coronado;;Coronado;;;;;;;;;x
b_coronado_adj;Coronadian;;coronader;;;;;;;;;;;x
b_kearny_mesa;Kearny Mesa;Kearny Mesa;Kearny Mesa;;Kearny Mesa;;;;;;;;;x
b_kearny_mesa_adj;Kearny Mesan;;Kearny Meser;;;;;;;;;;;x
b_national_city;National City;National City;National City;;National City;;;;;;;;;x
b_national_city_adj;National Citian;;National Citer;;;;;;;;;;;x
b_pacific_beach;Pacific Beach;Pacific Beach;Pacific Beach;;Pacific Beach;;;;;;;;;x
b_pacific_beach_adj;Pacific Beachian;;Pacific Beacher;;;;;;;;;;;x
b_penasquitos;Penasquitos;Penasquitos;Penasquitos;;Penasquitos;;;;;;;;;x
b_penasquitos_adj;Penasquitosian;;penasquitoser;;;;;;;;;;;x
b_san_diego;San Diego;San Diego;San Diego;;San Diego;;;;;;;;;x
b_san_diego_adj;San Diegian;;San Dieger;;;;;;;;;;;x
