#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_abbotsford;Abbotsford;Abbotsford;Abbotsford;;Abbotsford;;;;;;;;;x
c_abbotsford_adj;Abbotsfordian;;abbotsforder;;;;;;;;;;;x
c_aberdeen;Aberdeen;Aberdeen;Aberdeen;;Aberdeen;;;;;;;;;x
c_aberdeen_adj;Aberdeenian;;aberdeener;;;;;;;;;;;x
c_abiquiu;Abiquiu;Abiquiu;Abiquiu;;Abiquiu;;;;;;;;;x
c_abiquiu_adj;Abiqian;;abiqer;;;;;;;;;;;x
c_acoma;Acoma;Acoma;Acoma;;Acoma;;;;;;;;;x
c_acoma_adj;Acoman;;acomer;;;;;;;;;;;x
c_ada;Ada;Ada;Ada;;Ada;;;;;;;;;x
c_ada_adj;Adan;;ader;;;;;;;;;;;x
c_adams;Adams;Adams;Adams;;Adams;;;;;;;;;x
c_adams_adj;Adamsian;;adamser;;;;;;;;;;;x
c_afton;Afton;Afton;Afton;;Afton;;;;;;;;;x
c_afton_adj;Aftonian;;aftoner;;;;;;;;;;;x
c_agua_prieta;Agua Prieta;Agua Prieta;Agua Prieta;;Agua Prieta;;;;;;;;;x
c_agua_prieta_adj;Agua Prietan;;Agua Prieter;;;;;;;;;;;x
c_ahome;Ahome;Ahome;Ahome;;Ahome;;;;;;;;;x
c_ahome_adj;Ahomean;;ahomer;;;;;;;;;;;x
c_ahousat;Ahousat;Ahousat;Ahousat;;Ahousat;;;;;;;;;x
c_ahousat_adj;Ahousatian;;ahousater;;;;;;;;;;;x
c_alamo;Alamo;Alamo;Alamo;;Alamo;;;;;;;;;x
c_alamo_adj;Alamian;;alamer;;;;;;;;;;;x
c_alamos;Álamos;Álamos;Álamos;;Álamos;;;;;;;;;x
c_alamos_adj;Álamosian;;álamoser;;;;;;;;;;;x
c_alamosa;Alamosa;Alamosa;Alamosa;;Alamosa;;;;;;;;;x
c_alamosa_adj;Alamosan;;alamoser;;;;;;;;;;;x
c_albany;Albany;Albany;Albany;;Albany;;;;;;;;;x
c_albany_adj;Albanian;;albaner;;;;;;;;;;;x
c_albany_2;Albany;Albany;Albany;;Albany;;;;;;;;;x
c_albany_2_adj;Albanian;;albaner;;;;;;;;;;;x
c_albany_3;Albany;Albany;Albany;;Albany;;;;;;;;;x
c_albany_3_adj;Albanian;;albaner;;;;;;;;;;;x
c_alberni_valley;Alberni Valley;Alberni Valley;Alberni Valley;;Alberni Valley;;;;;;;;;x
c_alberni_valley_adj;Alberni Valleian;;Alberni Valleer;;;;;;;;;;;x
c_alpaugh;Alpaugh;Alpaugh;Alpaugh;;Alpaugh;;;;;;;;;x
c_alpaugh_adj;Alpaughian;;alpaugher;;;;;;;;;;;x
c_alturas;Alturas;Alturas;Alturas;;Alturas;;;;;;;;;x
c_alturas_adj;Alturasian;;alturaser;;;;;;;;;;;x
c_amador;Amador;Amador;Amador;;Amador;;;;;;;;;x
c_amador_adj;Amadorian;;amadorer;;;;;;;;;;;x
c_amargosa;Amargosa;Amargosa;Amargosa;;Amargosa;;;;;;;;;x
c_amargosa_adj;Amargosan;;amargoser;;;;;;;;;;;x
c_anaheim;Anaheim;Anaheim;Anaheim;;Anaheim;;;;;;;;;x
c_anaheim_adj;Anaheimian;;anaheimer;;;;;;;;;;;x
c_anarchist_mountain;Anarchist Mountain;Anarchist Mountain;Anarchist Mountain;;Anarchist Mountain;;;;;;;;;x
c_anarchist_mountain_adj;Anarchist Mountainian;;Anarchist Mountainer;;;;;;;;;;;x
c_angostura;Angostura;Angostura;Angostura;;Angostura;;;;;;;;;x
c_angostura_adj;Angosturan;;angosturer;;;;;;;;;;;x
c_animas;Animas;Animas;Animas;;Animas;;;;;;;;;x
c_animas_adj;Animasian;;animaser;;;;;;;;;;;x
c_animas_2;Animas;Animas;Animas;;Animas;;;;;;;;;x
c_animas_2_adj;Animasian;;animaser;;;;;;;;;;;x
c_annette;Annette;Annette;Annette;;Annette;;;;;;;;;x
c_annette_adj;Annettean;;annetter;;;;;;;;;;;x
c_antelope_island;Antelope Island;Antelope Island;Antelope Island;;Antelope Island;;;;;;;;;x
c_antelope_island_adj;Antelope Islandian;;Antelope Islander;;;;;;;;;;;x
c_antioch;Antioch;Antioch;Antioch;;Antioch;;;;;;;;;x
c_antioch_adj;Antiochian;;antiocher;;;;;;;;;;;x
c_anza;Anza;Anza;Anza;;Anza;;;;;;;;;x
c_anza_adj;Anzan;;anzer;;;;;;;;;;;x
c_apache_forest;Apache Forest;Apache Forest;Apache Forest;;Apache Forest;;;;;;;;;x
c_apache_forest_adj;Apache Forestian;;Apache Forester;;;;;;;;;;;x
c_aquarius;Aquarius;Aquarius;Aquarius;;Aquarius;;;;;;;;;x
c_aquarius_adj;Aquariusian;;aquariuser;;;;;;;;;;;x
c_arapahoe;Arapahoe;Arapahoe;Arapahoe;;Arapahoe;;;;;;;;;x
c_arapahoe_adj;Arapahoean;;arapaher;;;;;;;;;;;x
c_arbon;Arbon;Arbon;Arbon;;Arbon;;;;;;;;;x
c_arbon_adj;Arbonian;;arboner;;;;;;;;;;;x
c_arbuckle;Arbuckle;Arbuckle;Arbuckle;;Arbuckle;;;;;;;;;x
c_arbuckle_adj;Arbucklean;;arbuckler;;;;;;;;;;;x
c_archuleta;Archuleta;Archuleta;Archuleta;;Archuleta;;;;;;;;;x
c_archuleta_adj;Archuletan;;archuleter;;;;;;;;;;;x
c_arden_arcade;Arden-Arcade;Arden-Arcade;Arden-Arcade;;Arden-Arcade;;;;;;;;;x
c_arden_arcade_adj;Arden-Arcadean;;arden-arcader;;;;;;;;;;;x
c_arizpe;Arizpe;Arizpe;Arizpe;;Arizpe;;;;;;;;;x
c_arizpe_adj;Arizpean;;arizper;;;;;;;;;;;x
c_arlington;Arlington;Arlington;Arlington;;Arlington;;;;;;;;;x
c_arlington_adj;Arlingtonian;;arlingtoner;;;;;;;;;;;x
c_artois;Artois;Artois;Artois;;Artois;;;;;;;;;x
c_artois_adj;Artoisian;;artoiser;;;;;;;;;;;x
c_ash_springs;Ash Springs;Ash Springs;Ash Springs;;Ash Springs;;;;;;;;;x
c_ash_springs_adj;Ash Springsian;;Ash Springser;;;;;;;;;;;x
c_ashford_meadows;Ashford Meadows;Ashford Meadows;Ashford Meadows;;Ashford Meadows;;;;;;;;;x
c_ashford_meadows_adj;Ashford Meadowsian;;Ashford Meadowser;;;;;;;;;;;x
c_ashland;Ashland;Ashland;Ashland;;Ashland;;;;;;;;;x
c_ashland_adj;Ashlandian;;ashlander;;;;;;;;;;;x
c_ashton;Ashton;Ashton;Ashton;;Ashton;;;;;;;;;x
c_ashton_adj;Ashtonian;;ashtoner;;;;;;;;;;;x
c_astoria;Astoria;Astoria;Astoria;;Astoria;;;;;;;;;x
c_astoria_adj;Astorian;;astorer;;;;;;;;;;;x
c_atascadero;Atascadero;Atascadero;Atascadero;;Atascadero;;;;;;;;;x
c_atascadero_adj;Atascaderian;;atascaderer;;;;;;;;;;;x
c_austin;Austin;Austin;Austin;;Austin;;;;;;;;;x
c_austin_adj;Austinian;;austiner;;;;;;;;;;;x
c_bacerac;Bacerac;Bacerac;Bacerac;;Bacerac;;;;;;;;;x
c_bacerac_adj;Baceracian;;baceracer;;;;;;;;;;;x
c_badiraguato;Badiraguato;Badiraguato;Badiraguato;;Badiraguato;;;;;;;;;x
c_badiraguato_adj;Badiraguatian;;badiraguater;;;;;;;;;;;x
