#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_absaroka;Absaroka;Absaroka;Absaroka;;Absaroka;;;;;;;;;x
d_absaroka_adj;Absarokan;;absaroker;;;;;;;;;;;x
d_acoma;Acoma;Acoma;Acoma;;Acoma;;;;;;;;;x
d_acoma_adj;Acoman;;acomer;;;;;;;;;;;x
d_adams;Adams;Adams;Adams;;Adams;;;;;;;;;x
d_adams_adj;Adamsian;;adamser;;;;;;;;;;;x
d_ahwe_nyava;Ahwe Nyava;Ahwe Nyava;Ahwe Nyava;;Ahwe Nyava;;;;;;;;;x
d_ahwe_nyava_adj;Ahwe Nyavan;;Ahwe Nyaver;;;;;;;;;;;x
d_alameda;Alameda;Alameda;Alameda;;Alameda;;;;;;;;;x
d_alameda_adj;Alamedan;;alameder;;;;;;;;;;;x
d_alpine;Alpine;Alpine;Alpine;;Alpine;;;;;;;;;x
d_alpine_adj;Alpinean;;alpiner;;;;;;;;;;;x
d_anaheim;Anaheim;Anaheim;Anaheim;;Anaheim;;;;;;;;;x
d_anaheim_adj;Anaheimian;;anaheimer;;;;;;;;;;;x
d_antelope_valley;Antelope Valley;Antelope Valley;Antelope Valley;;Antelope Valley;;;;;;;;;x
d_antelope_valley_adj;Antelope Valleian;;Antelope Valleer;;;;;;;;;;;x
d_anza_borrego;Anza-Borrego;Anza-Borrego;Anza-Borrego;;Anza-Borrego;;;;;;;;;x
d_anza_borrego_adj;Anza-Borregian;;anza-borreger;;;;;;;;;;;x
d_aqueduct;Aqueduct;Aqueduct;Aqueduct;;Aqueduct;;;;;;;;;x
d_aqueduct_adj;Aqueductian;;aqueducter;;;;;;;;;;;x
d_arcata;Arcata;Arcata;Arcata;;Arcata;;;;;;;;;x
d_arcata_adj;Arcatan;;arcater;;;;;;;;;;;x
d_artemisia;Artemisia;Artemisia;Artemisia;;Artemisia;;;;;;;;;x
d_artemisia_adj;Artemisian;;artemiser;;;;;;;;;;;x
